"State","Population","Index","Violent","Property","Murder","Rape","Robbery","Assault","Burglary","Larceny","Auto","Inmates","New Index *","Index/ Inmates"
"Montana","43","38","38","38","36","41","45","32","46","26","32","31","37","23"
"Nebraska","35","44","42","43","43","39","39","43","47","37","43","34","44","17"
"Nevada","45","1","2","1","2","2","2","7","1","3","8","6","1","29"
"New Hampshire","42","34","49","31","49","49","47","47","34","33","33","49","45","48"
"New Jersey","9","18","20","18","33","27","8","27","15","18","10","36","21","41"
"New Mexico","37","19","11","20","15","7","25","5","23","16","31","18","15","31"
"New York","2","12","1","14","14","18","1","10","8","24","4","21","4","38"
"North Carolina","11","39","22","41","11","38","38","12","33","41","45","3","27","1"
"North Dakota","46","49","50","48","50","50","49","50","50","44","50","50","50","45"
"Ohio","6","25","23","24","26","21","10","29","30","23","18","17","24","21"
"Oklahoma","27","32","26","36","22","16","32","24","24","40","25","13","30","5"
"Oregon","29","9","12","10","35","8","22","11","10","8","20","23","11","36"
"Pennsylvania","4","45","33","45","31","37","21","38","40","48","27","41","39","34"
"Rhode Island","39","17","27","16","39","46","28","21","18","19","2","44","23","46"
"South Carolina","25","22","7","23","9","14","26","2","13","32","35","1","10","4"
"South Dakota","44","47","46","47","48","47","48","40","49","46","48","37","48","12"
"Tennessee","17","42","25","42","18","17","19","31","31","45","29","15","32","10"
"Texas","3","15","19","11","4","12","15","25","11","13","15","7","19","7"
"Utah","36","20","36","19","41","29","37","33","32","12","28","40","28","37"
"Vermont","48","41","45","39","42","43","50","41","27","39","44","38","43","26"
"Virginia","13","33","34","34","21","30","29","37","38","28","42","11","34","3"
"Washington","21","8","24","8","37","9","23","22","7","9","19","20","16","32"
"West Virginia","34","50","44","50","27","42","43","45","48","49","47","42","49","14"
"Wisconsin","16","40","48","37","46","44","40","48","44","22","41","35","46","20"
"Wyoming","49","28","35","26","25","26","41","28","45","15","26","25","33","24"
